author,freq
"Drosten, Christian",121
"Yuen, Kwok-Yung",119
"Memish, Ziad A",119
"Jiang, Shibo",106
"Perlman, Stanley",101
"Baric, Ralph S",99
"Gao, George F",85
"Enjuanes, Luis",80
"Wang, Lin-Fa",80
"Du, Lanying",69
"Al-Tawfiq, Jaffar A",68
"Buonavoglia, Canio",65
"Li, Yan",64
"Haagmans, Bart L",64
"Saif, Linda J",64
"Decaro, Nicola",63
"Wang, Wei",63
"Zumla, Alimuddin",61
"Snijder, Eric J",61
"Martella, Vito",60
"Cowling, Benjamin J",60
"Daszak, Peter",58
"Nishiura, Hiroshi",58
"Pöhlmann, Stefan",54
"Weiss, Susan R",51
"Müller, Marcel A",51
"Peiris, Malik",50
"Tan, Wenjie",50
"Balzarini, Jan",49
"Lane, Thomas E",48
"Wang, Li",48
"Feldmann, Heinz",47
"Chan, Kwok-Hung",47
"Raoult, Didier",47
"van der Hoek, Lia",46
"Liu, Wei",46
"Zhou, Yusen",45
"Zhang, Yan",45
"Zhang, Wei",45
"Englund, Janet A",45
"Katze, Michael G",44
"Hui, David S",43
"Lu, Lu",43
"Gerber, Susan I",43
"Thiel, Volker",43
"Gautret, Philippe",42
"Leung, Gabriel M",42
"Elia, Gabriella",42
"Liu, Shengwang",41
"Morikawa, Shigeru",41
"Stohlman, Stephen A",40
"Andrei, Graciela",40
"Gorbalenya, Alexander E",39
"Li, Wei",39
"Gern, James E",39
"Zhang, Yi",38
"Mizutani, Tetsuya",38
"Baker, Susan C",38
"Feng, Li",38
"Subbarao, Kanta",38
"Denison, Mark R",37
"Holmes, Edward C",37
"Vabret, Astrid",37
"Tan, Yee-Joo",36
"Snoeck, Robert",36
"Guan, Yi",36
"Wang, Jianwei",36
"Hilgenfeld, Rolf",36
"Ziebuhr, John",36
"Ippolito, Giuseppe",36
"Liu, Ding Xiang",36
"Dimitrov, Dimiter S",36
"Lau, Susanna K. P",35
"Gao, Feng",35
"Woo, Patrick C. Y",35
"Hsueh, Po-Ren",34
"Canard, Bruno",34
"Boeckh, Michael",34
"Herrler, Georg",34
"Heymann, David L",34
"Hayden, Frederick G",34
"Xiao, Shaobo",34
"Chowell, Gerardo",34
"Lipkin, W. Ian",34
"Erdman, Dean D",34
"Fukushi, Shuetsu",34
"Zhang, Li",34
"Zhang, Jing",34
"Chan, Paul K.S",33
"Holmes, Kathryn V",33
"Talbot, Pierre J",33
"Whittaker, Gary R",33
"Zheng, Bo-Jian",33
"Saijo, Masayuki",33
"Li, Fang",33
"Lee, Nelson",33
"Zhao, Jincun",33
"Lanzavecchia, Antonio",32
"Zhao, Yan",32
"Makino, Shinji",32
